Transaction_ID,Amount,Account,Date,Type
TRX_000001,9.8,ACC_7304,2024-02-21,Liability
TRX_000002,2.6,ACC_1597,2024-07-01,Revenue
TRX_000003,9.1,ACC_7171,2024-10-11,Revenue
TRX_000004,6.0,ACC_2633,2024-06-14,Expense
TRX_000005,7.44,ACC_2537,2024-06-16,Revenue
TRX_000006,4.26,ACC_9535,2024-08-06,Liability
TRX_000007,2.206,ACC_3324,2024-04-26,Asset
TRX_000008,5.77,ACC_2749,2024-04-14,Asset
TRX_000009,8.9,ACC_3113,2024-09-24,Expense
TRX_000010,2.9,ACC_3274,2024-06-07,Liability
TRX_000011,2.124,ACC_3551,2024-12-10,Liability
TRX_000012,1.3,ACC_9676,2024-05-08,Asset
TRX_000013,4.719,ACC_7971,2024-04-06,Liability
TRX_000014,1.217,ACC_7629,2024-01-01,Asset
TRX_000015,1.4,ACC_3307,2024-06-14,Expense
TRX_000016,7.6,ACC_8183,2024-01-13,Asset
TRX_000017,1.13,ACC_1923,2024-06-26,Asset
TRX_000018,4.482,ACC_4864,2024-04-02,Expense
TRX_000019,1.2,ACC_1264,2024-04-06,Expense
TRX_000020,1.1,ACC_3990,2024-12-12,Revenue
TRX_000021,2.52,ACC_1587,2024-12-26,Liability
TRX_000022,5.04,ACC_2715,2024-02-09,Asset
TRX_000023,2.86,ACC_7416,2024-05-12,Asset
TRX_000024,6.203,ACC_7049,2024-02-03,Liability
TRX_000025,1.658,ACC_6779,2024-12-01,Liability
TRX_000026,1.239,ACC_7040,2024-06-15,Asset
TRX_000027,1.4,ACC_1948,2024-04-14,Liability
TRX_000028,7.821,ACC_2138,2024-01-06,Asset
TRX_000029,1.175,ACC_1141,2024-04-21,Liability
TRX_000030,1.308,ACC_1423,2024-08-14,Expense
TRX_000031,9.82,ACC_8789,2024-03-03,Expense
TRX_000032,5.6,ACC_8230,2024-09-27,Liability
TRX_000033,6.375,ACC_2460,2024-04-08,Revenue
TRX_000034,1.7,ACC_2762,2024-09-27,Expense
TRX_000035,5.371,ACC_8804,2024-06-09,Liability
TRX_000036,1.021,ACC_2492,2024-05-05,Liability
TRX_000037,6.048,ACC_4516,2024-09-04,Asset
TRX_000038,6.7,ACC_8468,2024-07-15,Liability
TRX_000039,2.82,ACC_7748,2024-06-08,Revenue
TRX_000040,4.2,ACC_2846,2024-07-04,Expense
TRX_000041,6.517,ACC_2185,2024-11-23,Revenue
TRX_000042,3.555,ACC_4736,2024-02-17,Revenue
TRX_000043,2.72,ACC_4451,2024-10-01,Revenue
TRX_000044,2.2,ACC_9333,2024-03-16,Revenue
TRX_000045,2.5,ACC_2325,2024-01-08,Asset
TRX_000046,6.9,ACC_1340,2024-05-17,Liability
TRX_000047,3.588,ACC_6463,2024-05-17,Revenue
TRX_000048,6.2,ACC_1182,2024-09-07,Revenue
TRX_000049,4.2,ACC_9210,2024-12-08,Liability
